data,inviato_da,count_ti_amo,count_messaggi
2022-07-27,cla,0.0,45
2022-07-27,ma,0.0,24
2022-07-28,cla,0.0,542
2022-07-28,ma,0.0,371
2022-07-29,cla,0.0,1349
2022-07-29,ma,0.0,1030
2022-07-30,cla,0.0,451
2022-07-30,ma,0.0,416
2022-07-31,cla,1.0,1022
2022-07-31,ma,2.0,935
2022-08-01,cla,2.0,586
2022-08-01,ma,3.0,562
2022-08-02,cla,5.0,743
2022-08-02,ma,4.0,689
2022-08-03,cla,2.0,567
2022-08-03,ma,3.0,537
2022-08-04,cla,4.0,713
2022-08-04,ma,7.0,711
2022-08-05,cla,4.0,726
2022-08-05,ma,10.0,740
2022-08-06,cla,4.0,803
2022-08-06,ma,14.0,804
2022-08-07,cla,4.0,701
2022-08-07,ma,12.0,700
2022-08-08,cla,7.0,486
2022-08-08,ma,11.0,578
2022-08-09,cla,1.0,237
2022-08-09,ma,7.0,286
2022-08-10,cla,2.0,731
2022-08-10,ma,20.0,734
2022-08-11,cla,4.0,394
2022-08-11,ma,12.0,386
2022-08-12,cla,1.0,346
2022-08-12,ma,9.0,375
2022-08-13,cla,17.0,558
2022-08-13,ma,12.0,489
2022-08-14,cla,0.0,567
2022-08-14,ma,4.0,543
2022-08-15,cla,1.0,542
2022-08-15,ma,0.0,465
2022-08-16,cla,0.0,458
2022-08-16,ma,2.0,386
2022-08-17,cla,3.0,396
2022-08-17,ma,5.0,389
2022-08-18,cla,15.0,314
2022-08-18,ma,8.0,281
2022-08-19,cla,0.0,117
2022-08-19,ma,4.0,126
2022-08-20,cla,0.0,234
2022-08-20,ma,1.0,245
2022-08-21,cla,0.0,149
2022-08-21,ma,1.0,151
2022-08-22,cla,0.0,148
2022-08-22,ma,1.0,165
2022-08-23,cla,0.0,233
2022-08-23,ma,1.0,192
2022-08-24,cla,0.0,201
2022-08-24,ma,1.0,128
2022-08-25,cla,0.0,279
2022-08-25,ma,1.0,259
2022-08-26,cla,0.0,118
2022-08-26,ma,1.0,130
2022-08-27,cla,0.0,103
2022-08-27,ma,1.0,113
2022-08-28,cla,0.0,111
2022-08-28,ma,2.0,130
2022-08-29,cla,0.0,137
2022-08-29,ma,0.0,147
2022-08-30,cla,0.0,144
2022-08-30,ma,1.0,167
2022-08-31,cla,0.0,269
2022-08-31,ma,0.0,225
2022-09-01,cla,0.0,11
2022-09-01,ma,0.0,11
2022-09-02,cla,0.0,255
2022-09-02,ma,0.0,205
2022-09-03,cla,0.0,100
2022-09-03,ma,1.0,113
2022-09-04,cla,0.0,123
2022-09-04,ma,0.0,128
2022-09-05,cla,0.0,12
2022-09-05,ma,0.0,7
2022-09-06,cla,0.0,6
2022-09-06,ma,0.0,5
2022-09-07,cla,0.0,8
2022-09-07,ma,0.0,5
2022-09-08,cla,0.0,20
2022-09-08,ma,0.0,12
2022-09-09,cla,0.0,1
2022-09-09,ma,0.0,2
2022-09-10,cla,0.0,6
2022-09-10,ma,0.0,7
2022-09-11,cla,0.0,3
2022-09-11,ma,0.0,4
2022-09-12,cla,0.0,52
2022-09-12,ma,0.0,60
2022-09-13,cla,0.0,30
2022-09-13,ma,0.0,34
2022-09-14,cla,0.0,11
2022-09-14,ma,0.0,8
2022-09-15,cla,0.0,1
2022-09-15,ma,0.0,2
2022-09-16,cla,0.0,73
2022-09-16,ma,0.0,71
2022-09-17,cla,0.0,2
2022-09-17,ma,0.0,2
2022-09-18,cla,0.0,1
2022-09-18,ma,0.0,1
2022-09-19,cla,0.0,3
2022-09-19,ma,0.0,5
2022-09-20,cla,0.0,1
2022-09-20,ma,0.0,3
2022-09-21,cla,0.0,42
2022-09-21,ma,0.0,22
2022-09-23,cla,0.0,6
2022-09-23,ma,0.0,8
2022-09-24,cla,0.0,4
2022-09-24,ma,0.0,1
2022-09-25,cla,0.0,4
2022-09-25,ma,0.0,5
2022-09-26,cla,0.0,21
2022-09-26,ma,0.0,19
2022-09-27,cla,0.0,1
2022-09-27,ma,0.0,2
